id,id_competition,competition,pays,id_club,club,saison
98,9,Ligue 1,France,23,Angers SCO,2024-2025
99,9,Ligue 1,France,411,Stade Brestois 29,2024-2025
100,9,Ligue 1,France,354,RC Strasbourg Alsace,2024-2025
101,9,Ligue 1,France,320,OGC Nice,2024-2025
102,9,Ligue 1,France,194,FC Nantes,2024-2025
103,9,Ligue 1,France,337,Paris Saint Germain,2024-2025
104,9,Ligue 1,France,52,AS Saint-Etienne,2024-2025
105,9,Ligue 1,France,296,Lille OSC,2024-2025
106,9,Ligue 1,France,327,Olympique Lyonnais,2024-2025
107,9,Ligue 1,France,352,RC Lens,2024-2025
108,9,Ligue 1,France,324,Olympique de Marseille,2024-2025
109,9,Ligue 1,France,337,Paris Saint Germain,2023-2024
110,9,Ligue 1,France,354,RC Strasbourg Alsace,2023-2024
111,9,Ligue 1,France,422,Stade Rennais,2023-2024
112,9,Ligue 1,France,324,Olympique de Marseille,2023-2024
113,9,Ligue 1,France,320,OGC Nice,2023-2024
114,9,Ligue 1,France,108,Clermont Foot 63,2023-2024
115,9,Ligue 1,France,194,FC Nantes,2023-2024
116,9,Ligue 1,France,314,Montpellier HSC,2023-2024
117,9,Ligue 1,France,411,Stade Brestois 29,2023-2024
118,9,Ligue 1,France,185,FC Lorient,2023-2024
119,9,Ligue 1,France,327,Olympique Lyonnais,2023-2024
120,9,Ligue 1,France,188,FC Metz,2023-2024
121,9,Ligue 1,France,413,Stade de Reims,2023-2024
122,9,Ligue 1,France,296,Lille OSC,2023-2024
123,9,Ligue 1,France,43,AS Monaco,2023-2024
124,9,Ligue 1,France,433,Toulouse FC,2023-2024
125,9,Ligue 1,France,286,Le Havre AC,2023-2024
126,9,Ligue 1,France,352,RC Lens,2023-2024
127,9,Ligue 1,France,327,Olympique Lyonnais,2022-2023
128,9,Ligue 1,France,354,RC Strasbourg Alsace,2022-2023
129,9,Ligue 1,France,108,Clermont Foot 63,2022-2023
130,9,Ligue 1,France,433,Toulouse FC,2022-2023
131,9,Ligue 1,France,23,Angers SCO,2022-2023
132,9,Ligue 1,France,352,RC Lens,2022-2023
133,9,Ligue 1,France,296,Lille OSC,2022-2023
134,9,Ligue 1,France,314,Montpellier HSC,2022-2023
135,9,Ligue 1,France,422,Stade Rennais,2022-2023
136,9,Ligue 1,France,324,Olympique de Marseille,2022-2023
137,9,Ligue 1,France,1,AC Ajaccio,2022-2023
138,9,Ligue 1,France,43,AS Monaco,2022-2023
139,9,Ligue 1,France,337,Paris Saint Germain,2022-2023
140,9,Ligue 1,France,320,OGC Nice,2022-2023
141,9,Ligue 1,France,194,FC Nantes,2022-2023
142,9,Ligue 1,France,411,Stade Brestois 29,2022-2023
143,9,Ligue 1,France,18,AJ Auxerre,2022-2023
144,9,Ligue 1,France,146,ESTAC Troyes,2022-2023
145,9,Ligue 1,France,185,FC Lorient,2022-2023
146,9,Ligue 1,France,413,Stade de Reims,2022-2023
147,10,Ligue 2,France,128,Dijon FCO,2022-2023
148,10,Ligue 2,France,381,SC Bastia,2022-2023
149,10,Ligue 2,France,134,En Avant de Guingamp,2022-2023
150,10,Ligue 2,France,286,Le Havre AC,2022-2023
151,10,Ligue 2,France,317,Nîmes Olympique,2022-2023
152,10,Ligue 2,France,470,US Quevilly-Rouen,2022-2023
153,10,Ligue 2,France,155,FC Annecy,2022-2023
154,10,Ligue 2,France,252,Girondins de Bordeaux,2022-2023
155,10,Ligue 2,France,188,FC Metz,2022-2023
156,10,Ligue 2,France,213,FC Sochaux-Montbéliard,2022-2023
157,10,Ligue 2,France,52,AS Saint-Etienne,2022-2023
158,10,Ligue 2,France,414,Stade Lavallois Mayenne FC,2022-2023
159,10,Ligue 2,France,338,Pau FC,2022-2023
160,10,Ligue 2,France,260,Grenoble Foot 38,2022-2023
161,10,Ligue 2,France,415,Stade Malherbe Caen,2022-2023
162,10,Ligue 2,France,366,Rodez Aveyron Football,2022-2023
163,10,Ligue 2,France,101,Chamois Niortais FC,2022-2023
164,10,Ligue 2,France,484,Valenciennes FC,2022-2023
165,10,Ligue 2,France,21,Amiens SC,2022-2023
166,10,Ligue 2,France,336,Paris FC,2022-2023
167,12,Ligue des Champions,Europe,253,GNK Dinamo Zagreb,2022-2023
168,12,Ligue des Champions,Europe,85,Borussia Dortmund,2022-2023
169,12,Ligue des Champions,Europe,393,SL Benfica,2022-2023
170,12,Ligue des Champions,Europe,97,Celtic FC,2022-2023
171,12,Ligue des Champions,Europe,208,FC Séville,2022-2023
172,12,Ligue des Champions,Europe,337,Paris Saint Germain,2022-2023
173,12,Ligue des Champions,Europe,350,RB Leipzig,2022-2023
174,12,Ligue des Champions,Europe,361,Red Bull Salzbourg,2022-2023
175,12,Ligue des Champions,Europe,19,Ajax Amsterdam,2022-2023
176,12,Ligue des Champions,Europe,132,Eintracht Frankfort,2022-2023
177,12,Ligue des Champions,Europe,110,Club Atlético de Madrid,2022-2023
178,12,Ligue des Champions,Europe,159,FC Barcelone,2022-2023
179,12,Ligue des Champions,Europe,111,Club Brugge KV,2022-2023
180,12,Ligue des Champions,Europe,270,Inter Milan,2022-2023
181,12,Ligue des Champions,Europe,407,SSC Naples,2022-2023
182,12,Ligue des Champions,Europe,432,Tottenham Hotspur,2022-2023
183,12,Ligue des Champions,Europe,106,Chelsea FC,2022-2023
184,12,Ligue des Champions,Europe,172,FC Copenhague,2022-2023
185,12,Ligue des Champions,Europe,305,Maccabi Haïfa FC,2022-2023
186,12,Ligue des Champions,Europe,358,Real Madrid CF,2022-2023
187,12,Ligue des Champions,Europe,309,Manchester City FC,2022-2023
188,12,Ligue des Champions,Europe,279,Juventus FC,2022-2023
189,12,Ligue des Champions,Europe,390,Shakhtar Donetsk,2022-2023
190,12,Ligue des Champions,Europe,6,AC Milan,2022-2023
191,12,Ligue des Champions,Europe,347,Rangers FC,2022-2023
192,12,Ligue des Champions,Europe,401,Sporting CP,2022-2023
193,12,Ligue des Champions,Europe,197,FC Porto,2022-2023
194,12,Ligue des Champions,Europe,220,FC Viktoria Plzen,2022-2023
195,12,Ligue des Champions,Europe,73,Bayer 04 Leverkusen,2022-2023
196,12,Ligue des Champions,Europe,161,FC Bayern Munich,2022-2023
197,12,Ligue des Champions,Europe,298,Liverpool FC,2022-2023
198,12,Ligue des Champions,Europe,324,Olympique de Marseille,2022-2023
199,9,Ligue 1,France,43,AS Monaco,2021-2022
200,9,Ligue 1,France,327,Olympique Lyonnais,2021-2022
201,9,Ligue 1,France,146,ESTAC Troyes,2021-2022
202,9,Ligue 1,France,422,Stade Rennais,2021-2022
203,9,Ligue 1,France,52,AS Saint-Etienne,2021-2022
204,9,Ligue 1,France,320,OGC Nice,2021-2022
205,9,Ligue 1,France,354,RC Strasbourg Alsace,2021-2022
206,9,Ligue 1,France,252,Girondins de Bordeaux,2021-2022
207,9,Ligue 1,France,188,FC Metz,2021-2022
208,9,Ligue 1,France,314,Montpellier HSC,2021-2022
209,9,Ligue 1,France,194,FC Nantes,2021-2022
210,9,Ligue 1,France,411,Stade Brestois 29,2021-2022
211,9,Ligue 1,France,337,Paris Saint Germain,2021-2022
212,9,Ligue 1,France,352,RC Lens,2021-2022
213,9,Ligue 1,France,185,FC Lorient,2021-2022
214,9,Ligue 1,France,413,Stade de Reims,2021-2022
215,9,Ligue 1,France,23,Angers SCO,2021-2022
216,9,Ligue 1,France,108,Clermont Foot 63,2021-2022
217,9,Ligue 1,France,296,Lille OSC,2021-2022
218,9,Ligue 1,France,324,Olympique de Marseille,2021-2022
219,9,Ligue 1,France,194,FC Nantes,2020-2021
220,9,Ligue 1,France,23,Angers SCO,2020-2021
221,9,Ligue 1,France,422,Stade Rennais,2020-2021
222,9,Ligue 1,France,354,RC Strasbourg Alsace,2020-2021
223,9,Ligue 1,France,52,AS Saint-Etienne,2020-2021
224,9,Ligue 1,France,413,Stade de Reims,2020-2021
225,9,Ligue 1,France,327,Olympique Lyonnais,2020-2021
226,9,Ligue 1,France,352,RC Lens,2020-2021
227,9,Ligue 1,France,411,Stade Brestois 29,2020-2021
228,9,Ligue 1,France,188,FC Metz,2020-2021
229,9,Ligue 1,France,252,Girondins de Bordeaux,2020-2021
230,9,Ligue 1,France,128,Dijon FCO,2020-2021
231,9,Ligue 1,France,296,Lille OSC,2020-2021
232,9,Ligue 1,France,185,FC Lorient,2020-2021
233,9,Ligue 1,France,324,Olympique de Marseille,2020-2021
234,9,Ligue 1,France,43,AS Monaco,2020-2021
235,9,Ligue 1,France,314,Montpellier HSC,2020-2021
236,9,Ligue 1,France,320,OGC Nice,2020-2021
237,9,Ligue 1,France,317,Nîmes Olympique,2020-2021
238,9,Ligue 1,France,337,Paris Saint Germain,2020-2021
239,9,Ligue 1,France,337,Paris Saint Germain,2019-2020
240,9,Ligue 1,France,128,Dijon FCO,2019-2020
241,9,Ligue 1,France,52,AS Saint-Etienne,2019-2020
242,9,Ligue 1,France,188,FC Metz,2019-2020
243,9,Ligue 1,France,320,OGC Nice,2019-2020
244,9,Ligue 1,France,354,RC Strasbourg Alsace,2019-2020
245,9,Ligue 1,France,314,Montpellier HSC,2019-2020
246,9,Ligue 1,France,324,Olympique de Marseille,2019-2020
247,9,Ligue 1,France,23,Angers SCO,2019-2020
248,9,Ligue 1,France,422,Stade Rennais,2019-2020
249,9,Ligue 1,France,21,Amiens SC,2019-2020
250,9,Ligue 1,France,252,Girondins de Bordeaux,2019-2020
251,9,Ligue 1,France,411,Stade Brestois 29,2019-2020
252,9,Ligue 1,France,194,FC Nantes,2019-2020
253,9,Ligue 1,France,433,Toulouse FC,2019-2020
254,9,Ligue 1,France,327,Olympique Lyonnais,2019-2020
255,9,Ligue 1,France,43,AS Monaco,2019-2020
256,9,Ligue 1,France,296,Lille OSC,2019-2020
257,9,Ligue 1,France,317,Nîmes Olympique,2019-2020
258,9,Ligue 1,France,413,Stade de Reims,2019-2020
259,9,Ligue 1,France,433,Toulouse FC,2018-2019
260,9,Ligue 1,France,43,AS Monaco,2018-2019
261,9,Ligue 1,France,317,Nîmes Olympique,2018-2019
262,9,Ligue 1,France,422,Stade Rennais,2018-2019
263,9,Ligue 1,France,128,Dijon FCO,2018-2019
264,9,Ligue 1,France,413,Stade de Reims,2018-2019
265,9,Ligue 1,France,134,En Avant de Guingamp,2018-2019
266,9,Ligue 1,France,21,Amiens SC,2018-2019
267,9,Ligue 1,France,354,RC Strasbourg Alsace,2018-2019
268,9,Ligue 1,France,415,Stade Malherbe Caen,2018-2019
269,9,Ligue 1,France,324,Olympique de Marseille,2018-2019
270,9,Ligue 1,France,194,FC Nantes,2018-2019
271,9,Ligue 1,France,23,Angers SCO,2018-2019
272,9,Ligue 1,France,296,Lille OSC,2018-2019
273,9,Ligue 1,France,314,Montpellier HSC,2018-2019
274,9,Ligue 1,France,320,OGC Nice,2018-2019
275,9,Ligue 1,France,52,AS Saint-Etienne,2018-2019
276,9,Ligue 1,France,327,Olympique Lyonnais,2018-2019
277,9,Ligue 1,France,252,Girondins de Bordeaux,2018-2019
278,9,Ligue 1,France,337,Paris Saint Germain,2018-2019
279,7,Europa League,Europe,340,PFK Ludogorets Razgrad,2018-2019
280,7,Europa League,Europe,12,AEK Larnaca,2018-2019
281,7,Europa League,Europe,97,Celtic FC,2018-2019
282,7,Europa League,Europe,350,RB Leipzig,2018-2019
283,7,Europa League,Europe,394,Slavia Prague,2018-2019
284,7,Europa League,Europe,172,FC Copenhague,2018-2019
285,7,Europa League,Europe,253,GNK Dinamo Zagreb,2018-2019
286,7,Europa League,Europe,215,FC Spartak Trnava,2018-2019
287,7,Europa League,Europe,401,Sporting CP,2018-2019
288,7,Europa League,Europe,28,Arsenal FC,2018-2019
289,7,Europa League,Europe,321,Olympiakos,2018-2019
290,7,Europa League,Europe,152,F91 Dudelange,2018-2019
291,7,Europa League,Europe,490,Villarreal CF,2018-2019
292,7,Europa League,Europe,348,Rapid Vienne,2018-2019
293,7,Europa League,Europe,324,Olympique de Marseille,2018-2019
294,7,Europa League,Europe,406,SS Lazio,2018-2019
295,7,Europa League,Europe,283,KRC Genk,2018-2019
296,7,Europa League,Europe,79,Besiktas JK,2018-2019
297,7,Europa League,Europe,208,FC Séville,2018-2019
298,7,Europa League,Europe,20,Akhisarspor,2018-2019
299,7,Europa League,Europe,422,Stade Rennais,2018-2019
300,7,Europa League,Europe,130,Dynamo Kiev,2018-2019
301,7,Europa League,Europe,335,PAOK Salonique,2018-2019
302,7,Europa League,Europe,225,Fehérvár FC,2018-2019
303,7,Europa League,Europe,73,Bayer 04 Leverkusen,2018-2019
304,7,Europa League,Europe,223,FC Zurich,2018-2019
305,7,Europa League,Europe,367,Rosenborg BK,2018-2019
306,7,Europa League,Europe,361,Red Bull Salzbourg,2018-2019
307,7,Europa League,Europe,252,Girondins de Bordeaux,2018-2019
308,7,Europa League,Europe,501,Zénith Saint-Pétersbourg,2018-2019
309,7,Europa League,Europe,226,Fenerbahçe SK,2018-2019
310,7,Europa League,Europe,370,RSC Anderlecht,2018-2019
311,7,Europa League,Europe,346,Qarabag FK,2018-2019
312,7,Europa League,Europe,493,Vorskla Poltava,2018-2019
313,7,Europa League,Europe,356,Real Betis Balompié,2018-2019
314,7,Europa League,Europe,6,AC Milan,2018-2019
315,7,Europa League,Europe,347,Rangers FC,2018-2019
316,7,Europa League,Europe,399,Spartak Moscou,2018-2019
317,7,Europa League,Europe,132,Eintracht Frankfort,2018-2019
318,7,Europa League,Europe,27,Apollon Limassol FC,2018-2019
319,7,Europa League,Europe,308,Malmö FF,2018-2019
320,7,Europa League,Europe,377,Sarpsborg 08 FF,2018-2019
321,7,Europa League,Europe,423,Standard de Liège,2018-2019
322,7,Europa League,Europe,237,FK Krasnodar,2018-2019
323,7,Europa League,Europe,235,FK Jablonec,2018-2019
324,7,Europa League,Europe,229,FK Astana,2018-2019
325,7,Europa League,Europe,106,Chelsea FC,2018-2019
326,7,Europa League,Europe,231,FK BATE Borisov,2018-2019
327,12,Ligue des Champions,Europe,111,Club Brugge KV,2018-2019
328,12,Ligue des Champions,Europe,43,AS Monaco,2018-2019
329,12,Ligue des Champions,Europe,270,Inter Milan,2018-2019
330,12,Ligue des Champions,Europe,159,FC Barcelone,2018-2019
331,12,Ligue des Champions,Europe,298,Liverpool FC,2018-2019
332,12,Ligue des Champions,Europe,149,Etoile Rouge de Belgrade,2018-2019
333,12,Ligue des Champions,Europe,205,FC Schalke 04,2018-2019
334,12,Ligue des Champions,Europe,246,Galatasaray SK,2018-2019
335,12,Ligue des Champions,Europe,19,Ajax Amsterdam,2018-2019
336,12,Ligue des Champions,Europe,393,SL Benfica,2018-2019
337,12,Ligue des Champions,Europe,390,Shakhtar Donetsk,2018-2019
338,12,Ligue des Champions,Europe,309,Manchester City FC,2018-2019
339,12,Ligue des Champions,Europe,358,Real Madrid CF,2018-2019
340,12,Ligue des Champions,Europe,220,FC Viktoria Plzen,2018-2019
341,12,Ligue des Champions,Europe,75,Berner Sport Club Young Boys,2018-2019
342,12,Ligue des Champions,Europe,483,Valence CF,2018-2019
343,12,Ligue des Champions,Europe,85,Borussia Dortmund,2018-2019
344,12,Ligue des Champions,Europe,110,Club Atlético de Madrid,2018-2019
345,12,Ligue des Champions,Europe,432,Tottenham Hotspur,2018-2019
346,12,Ligue des Champions,Europe,345,PSV Eindhoven,2018-2019
347,12,Ligue des Champions,Europe,337,Paris Saint Germain,2018-2019
348,12,Ligue des Champions,Europe,407,SSC Naples,2018-2019
349,12,Ligue des Champions,Europe,197,FC Porto,2018-2019
350,12,Ligue des Champions,Europe,299,Lokomotiv Moscou,2018-2019
351,12,Ligue des Champions,Europe,11,AEK Athènes,2018-2019
352,12,Ligue des Champions,Europe,161,FC Bayern Munich,2018-2019
353,12,Ligue des Champions,Europe,439,TSG 1899 Hoffenheim,2018-2019
354,12,Ligue des Champions,Europe,327,Olympique Lyonnais,2018-2019
355,12,Ligue des Champions,Europe,51,AS Rome,2018-2019
356,12,Ligue des Champions,Europe,124,CSKA Moscou,2018-2019
357,12,Ligue des Champions,Europe,310,Manchester United FC,2018-2019
358,12,Ligue des Champions,Europe,279,Juventus FC,2018-2019
359,1,Bundesliga,Allemagne,161,FC Bayern Munich,2016-2017
360,1,Bundesliga,Allemagne,132,Eintracht Frankfort,2016-2017
361,1,Bundesliga,Allemagne,156,FC Augsbourg,2016-2017
362,1,Bundesliga,Allemagne,85,Borussia Dortmund,2016-2017
363,1,Bundesliga,Allemagne,261,Hambourg SV,2016-2017
364,1,Bundesliga,Allemagne,171,FC Cologne,2016-2017
365,1,Bundesliga,Allemagne,86,Borussia Mönchengladbach,2016-2017
366,1,Bundesliga,Allemagne,266,Hertha BSC,2016-2017
367,1,Bundesliga,Allemagne,496,Werder Brême,2016-2017
368,1,Bundesliga,Allemagne,205,FC Schalke 04,2016-2017
369,1,Bundesliga,Allemagne,489,VfL Wolfsburg,2016-2017
370,1,Bundesliga,Allemagne,245,FSV Mayence 05,2016-2017
371,1,Bundesliga,Allemagne,180,FC Ingolstadt 04,2016-2017
372,1,Bundesliga,Allemagne,426,SV Darmstadt 98,2016-2017
373,1,Bundesliga,Allemagne,73,Bayer 04 Leverkusen,2016-2017
374,1,Bundesliga,Allemagne,386,SC Fribourg,2016-2017
375,1,Bundesliga,Allemagne,350,RB Leipzig,2016-2017
376,1,Bundesliga,Allemagne,439,TSG 1899 Hoffenheim,2016-2017
377,7,Europa League,Europe,228,Feyenoord Rotterdam,2016-2017
378,7,Europa League,Europe,502,Zorya Louhansk,2016-2017
379,7,Europa League,Europe,75,Berner Sport Club Young Boys,2016-2017
380,7,Europa League,Europe,26,APOEL Nicosie,2016-2017
381,7,Europa League,Europe,245,FSV Mayence 05,2016-2017
382,7,Europa League,Europe,370,RSC Anderlecht,2016-2017
383,7,Europa League,Europe,306,Maccabi Tel Aviv FC,2016-2017
384,7,Europa League,Europe,71,AZ Alkmaar,2016-2017
385,7,Europa League,Europe,220,FC Viktoria Plzen,2016-2017
386,7,Europa League,Europe,13,AFC Astra Giurgiu,2016-2017
387,7,Europa League,Europe,348,Rapid Vienne,2016-2017
388,7,Europa League,Europe,479,US Sassuolo Calcio,2016-2017
389,7,Europa League,Europe,423,Standard de Liège,2016-2017
390,7,Europa League,Europe,334,Panathinaïkos,2016-2017
391,7,Europa League,Europe,282,Konyaspor,2016-2017
392,7,Europa League,Europe,382,SC Braga,2016-2017
393,7,Europa League,Europe,320,OGC Nice,2016-2017
394,7,Europa League,Europe,361,Red Bull Salzbourg,2016-2017
395,7,Europa League,Europe,335,PAOK Salonique,2016-2017
396,7,Europa League,Europe,346,Qarabag FK,2016-2017
397,7,Europa League,Europe,398,Southampton FC,2016-2017
398,7,Europa League,Europe,270,Inter Milan,2016-2017
399,7,Europa League,Europe,490,Villarreal CF,2016-2017
400,7,Europa League,Europe,24,Ankaraspor Kulübü,2016-2017
401,7,Europa League,Europe,310,Manchester United FC,2016-2017
402,7,Europa League,Europe,226,Fenerbahçe SK,2016-2017
403,7,Europa League,Europe,321,Olympiakos,2016-2017
404,7,Europa League,Europe,229,FK Astana,2016-2017
405,7,Europa League,Europe,52,AS Saint-Etienne,2016-2017
406,7,Europa League,Europe,239,FK Qabala,2016-2017
407,7,Europa League,Europe,501,Zénith Saint-Pétersbourg,2016-2017
408,7,Europa League,Europe,129,Dundalk FC,2016-2017
409,7,Europa League,Europe,51,AS Rome,2016-2017
410,7,Europa League,Europe,230,FK Austria Vienne,2016-2017
411,7,Europa League,Europe,283,KRC Genk,2016-2017
412,7,Europa League,Europe,67,Athletic Club,2016-2017
413,7,Europa League,Europe,357,Real Club Celta de Vigo,2016-2017
414,7,Europa League,Europe,19,Ajax Amsterdam,2016-2017
415,7,Europa League,Europe,390,Shakhtar Donetsk,2016-2017
416,7,Europa League,Europe,280,KAA La Gantoise,2016-2017
417,7,Europa League,Europe,205,FC Schalke 04,2016-2017
418,7,Europa League,Europe,237,FK Krasnodar,2016-2017
419,7,Europa League,Europe,10,ACF Fiorentina,2016-2017
420,7,Europa League,Europe,212,FC Slovan Liberec,2016-2017
421,7,Europa League,Europe,8,AC Sparta Prague,2016-2017
422,7,Europa League,Europe,263,Hapoël Beer-Sheva FC,2016-2017
423,7,Europa League,Europe,223,FC Zurich,2016-2017
424,7,Europa League,Europe,243,Fotbal Club FCSB,2016-2017
425,9,Ligue 1,France,45,AS Nancy Lorraine,2016-2017
426,9,Ligue 1,France,252,Girondins de Bordeaux,2016-2017
427,9,Ligue 1,France,314,Montpellier HSC,2016-2017
428,9,Ligue 1,France,320,OGC Nice,2016-2017
429,9,Ligue 1,France,324,Olympique de Marseille,2016-2017
430,9,Ligue 1,France,381,SC Bastia,2016-2017
431,9,Ligue 1,France,128,Dijon FCO,2016-2017
432,9,Ligue 1,France,43,AS Monaco,2016-2017
433,9,Ligue 1,France,415,Stade Malherbe Caen,2016-2017
434,9,Ligue 1,France,188,FC Metz,2016-2017
435,9,Ligue 1,France,327,Olympique Lyonnais,2016-2017
436,9,Ligue 1,France,52,AS Saint-Etienne,2016-2017
437,9,Ligue 1,France,23,Angers SCO,2016-2017
438,9,Ligue 1,France,422,Stade Rennais,2016-2017
439,9,Ligue 1,France,433,Toulouse FC,2016-2017
440,9,Ligue 1,France,337,Paris Saint Germain,2016-2017
441,9,Ligue 1,France,194,FC Nantes,2016-2017
442,9,Ligue 1,France,134,En Avant de Guingamp,2016-2017
